,GAME_ID,HOMEDESCRIPTION,PCTIMESTRING,PERIOD,PLAYER3_TEAM_ABBREVIATION,HOME_TEAM,AWAY_TEAM,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,JUMP_BALL_RETRIEVED_TEAM_NAME
1,21700001,Jump Ball Love vs. Horford: Tip to Irving,12:00,1.0,Celtics,Celtics,Cavaliers,201567.0,201143.0,202681.0,Celtics
481,21700002,Jump Ball Pachulia vs. Capela: Tip to Anderson,12:00,1.0,Rockets,Warriors,Rockets,2585.0,203991.0,201583.0,Rockets
940,21700003,Jump Ball Drummond vs. Howard: Tip to Bacon,12:00,1.0,Hornets,Hornets,Pistons,203083.0,2730.0,1628407.0,Hornets
1358,21700004,Jump Ball Turner vs. Mozgov: Tip to Bogdanovic,12:00,1.0,Pacers,Nets,Pacers,1626167.0,202389.0,202711.0,Pacers
1868,21700005,Jump Ball Vucevic vs. Whiteside: Tip to Waiters,12:00,1.0,Heat,Heat,Magic,202696.0,202355.0,203079.0,Heat
2323,21700006,Jump Ball Gortat vs. Embiid: Tip to Smith,12:00,1.0,Wizards,76ers,Wizards,101162.0,203954.0,201160.0,Wizards
2839,21700007,Jump Ball Horford vs. Maker: Tip to Smart,12:00,1.0,Celtics,Celtics,Bucks,201143.0,1627748.0,203935.0,Celtics
3353,21700008,Jump Ball Gasol vs. Davis: Tip to Green,12:00,1.0,Grizzlies,Grizzlies,Pelicans,201188.0,203076.0,203210.0,Grizzlies
3844,21700009,Jump Ball Barnes vs. Dedmon: Tip to Schroder,12:00,1.0,Hawks,Hawks,Mavericks,203084.0,203473.0,203471.0,Hawks
4282,21700010,Jump Ball Gobert vs. Millsap: Tip to Favors,12:00,1.0,Jazz,Nuggets,Jazz,203497.0,200794.0,202324.0,Jazz
4749,21700011,Jump Ball Gasol vs. Towns: Tip to Teague,12:00,1.0,Timberwolves,Timberwolves,Spurs,2200.0,1626157.0,201952.0,Timberwolves
5215,21700012,Jump Ball Chandler vs. Nurkic: Tip to Harkless,12:00,1.0,Trail Blazers,Suns,Trail Blazers,2199.0,203994.0,203090.0,Trail Blazers
5680,21700013,Jump Ball Cauley-Stein vs. Capela: Tip to Labissiere,12:00,1.0,Kings,Rockets,Kings,1626161.0,203991.0,1627746.0,Kings
6143,21700014,Jump Ball Valanciunas vs. Lopez: Tip to Markkanen,12:00,1.0,Bulls,Bulls,Raptors,202685.0,201577.0,1628374.0,Bulls
6613,21700015,Jump Ball Adams vs. Porzingis: Tip to Kanter,12:00,1.0,Knicks,Knicks,Thunder,203500.0,204001.0,202683.0,Knicks
7086,21700016,Jump Ball Lopez vs. Jordan: Tip to Griffin,12:00,1.0,Clippers,Clippers,Lakers,201572.0,201599.0,201933.0,Clippers
7523,21700017,Jump Ball Howard vs. Dedmon: Tip to Walker,12:00,1.0,Hornets,Hawks,Hornets,2730.0,203473.0,202689.0,Hornets
7984,21700018,Jump Ball Sabonis vs. Nurkic: Tip to Harkless,12:00,1.0,Trail Blazers,Pacers,Trail Blazers,1627734.0,203994.0,203090.0,Trail Blazers
8424,21700019,Jump Ball Embiid vs. Horford: Tip to Simmons,12:00,1.0,76ers,Celtics,76ers,203954.0,201143.0,1627732.0,76ers
8871,21700020,Jump Ball Gortat vs. Drummond: Tip to Jackson,12:00,1.0,Pistons,Pistons,Wizards,101162.0,203083.0,202704.0,Pistons
9357,21700021,Jump Ball Maker vs. Love: Tip to Rose,12:00,1.0,Cavaliers,Cavaliers,Bucks,1627748.0,201567.0,201565.0,Cavaliers
9753,21700022,Jump Ball Mozgov vs. Vucevic: Tip to Russell,12:00,1.0,Nets,Nets,Magic,202389.0,202696.0,1626156.0,Nets
10164,21700023,Jump Ball Towns vs. Gobert: Tip to Favors,12:00,1.0,Jazz,Timberwolves,Jazz,1626157.0,203497.0,202324.0,Jazz
10615,21700024,Jump Ball Noel vs. Cauley-Stein: Tip to G. Hill,12:00,1.0,Kings,Mavericks,Kings,203457.0,1626161.0,201588.0,Kings
11054,21700025,Jump Ball Davis vs. Pachulia: Tip to Holiday,12:00,1.0,Pelicans,Warriors,Pelicans,203076.0,2585.0,201950.0,Pelicans
11484,21700026,Jump Ball Chandler vs. Lopez: Tip to Nance Jr.,12:00,1.0,Lakers,Lakers,Suns,2199.0,201572.0,1626204.0,Lakers
11989,21700027,Jump Ball Valanciunas vs. Johnson: Tip to Covington,12:00,1.0,76ers,76ers,Raptors,202685.0,101161.0,203496.0,76ers
12432,21700028,Jump Ball Love vs. Vucevic: Tip to Fournier,12:00,1.0,Magic,Cavaliers,Magic,201567.0,202696.0,203095.0,Magic
12892,21700029,Jump Ball Mickey vs. Sabonis: Tip to Young,12:00,1.0,Pacers,Pacers,Heat,1626175.0,1627734.0,201152.0,Pacers
13398,21700030,Jump Ball Porzingis vs. Drummond: Tip to Harris,12:00,1.0,Pistons,Pistons,Knicks,204001.0,203083.0,202699.0,Pistons
13853,21700031,Jump Ball Lopez vs. Gasol: Tip to Grant,12:00,1.0,Bulls,Bulls,Spurs,201577.0,2200.0,1626170.0,Bulls
14266,21700032,Jump Ball Capela vs. Barnes: Tip to Ferrell,12:00,1.0,Mavericks,Mavericks,Rockets,203991.0,203084.0,1627812.0,Mavericks
14698,21700033,Jump Ball Gasol vs. Pachulia: Tip to Conley,12:00,1.0,Grizzlies,Warriors,Grizzlies,201188.0,2585.0,201144.0,Grizzlies
15134,21700034,Jump Ball Maker vs. Nurkic: Tip to Antetokounmpo,12:00,1.0,Bucks,Bucks,Trail Blazers,1627748.0,203994.0,203507.0,Bucks
15651,21700035,Jump Ball Millsap vs. Cauley-Stein: Tip to Jackson,12:00,1.0,Kings,Nuggets,Kings,200794.0,1626161.0,1628382.0,Kings
16077,21700036,Jump Ball Gobert vs. Adams: Tip to Favors,12:00,1.0,Jazz,Thunder,Jazz,203497.0,203500.0,202324.0,Jazz
